Time;Long;Lat;Height;H2S;SO2
31/10/2017 17:26:29;-61.6624400;16.0435900;1.8;-1.82926;0.875474731554277
31/10/2017 17:26:31;-61.6624400;16.0435900;1.8;-1.828136;0.123387553379871
31/10/2017 17:26:33;-61.6624400;16.0435900;1.8;-1.803326;0.069969856296666
31/10/2017 17:26:35;-61.6624400;16.0435900;1.8;-1.794054;0.143717572907917
31/10/2017 17:26:37;-61.6624400;16.0435900;1.8;-1.808607;0.296660792431794
31/10/2017 17:26:39;-61.6624400;16.0435900;1.8;-1.816673;0.974752298207022
31/10/2017 17:26:41;-61.6624400;16.0435900;1.8;-1.812254;0.761564478627406
31/10/2017 17:26:43;-61.6624400;16.0435900;1.8;-1.804674;0.534834899590351
31/10/2017 17:26:45;-61.6624400;16.0435900;1.8;-1.803904;0.499619808397256
31/10/2017 17:26:47;-61.6624400;16.0435900;1.8;-1.823725;0.66792921430897
31/10/2017 17:26:49;-61.6624400;16.0435900;1.8;-1.817741;0.161073049413972
31/10/2017 17:26:51;-61.6624400;16.0435900;1.8;-1.814541;0.387788578518666
31/10/2017 17:26:53;-61.6624400;16.0435900;1.8;-1.812653;0.213010547100566
31/10/2017 17:26:55;-61.6624400;16.0435900;1.8;-1.802526;0.357351583545096
31/10/2017 17:26:57;-61.6624400;16.0435900;1.8;-1.798164;0.68546349380631
31/10/2017 17:26:59;-61.6624400;16.0435900;1.8;-1.797224;0.692919083288871
31/10/2017 17:27:01;-61.6624400;16.0435900;1.8;-1.786463;0.661223872448318
31/10/2017 17:27:03;-61.6624400;16.0435900;1.8;-1.780325;0.169472845154814
31/10/2017 17:27:05;-61.6624400;16.0435900;1.8;-1.781998;0.246238225721754
31/10/2017 17:27:07;-61.6624400;16.0435900;1.8;-1.760227;0.538579213549383
31/10/2017 17:27:09;-61.6624400;16.0435900;1.8;-1.736195;0.901543778716587
31/10/2017 17:27:11;-61.6624400;16.0435900;1.8;-1.739626;0.715100949979387
31/10/2017 17:27:13;-61.6624400;16.0435900;1.8;-1.717567;0.382564206258394
31/10/2017 17:27:15;-61.6624400;16.0435900;1.8;-1.708382;0.710274276672863
31/10/2017 17:27:17;-61.6624300;16.0435900;1.8;-1.691383;0.884197608451359
31/10/2017 17:27:19;-61.6624300;16.0435900;1.8;-1.706343;0.850315033341758
31/10/2017 17:27:21;-61.6624300;16.0435900;1.8;-1.710922;0.387986250338145
31/10/2017 17:27:23;-61.6624300;16.0435900;1.8;-1.731117;0.022197915590368
31/10/2017 17:27:25;-61.6624300;16.0435900;1.8;-1.742659;0.234628592501394
31/10/2017 17:27:27;-61.6624300;16.0435900;1.8;-1.730486;0.39493325992953
31/10/2017 17:27:29;-61.6624300;16.0435900;1.8;-1.725061;0.632265164633282
31/10/2017 17:27:31;-61.6624300;16.0435900;1.8;-1.687904;0.087324038031511
31/10/2017 17:27:33;-61.6624300;16.0435900;1.8;-1.692019;0.819186960463412
31/10/2017 17:27:35;-61.6624300;16.0435900;1.8;-1.652081;0.166765689034946
31/10/2017 17:27:37;-61.6624300;16.0435900;1.8;-1.65365;0.877903007552959
31/10/2017 17:27:39;-61.6624300;16.0435900;1.8;-1.655401;0.146533483755775
31/10/2017 17:27:41;-61.6624300;16.0435900;1.8;-1.655672;0.020096507272683
31/10/2017 17:27:43;-61.6624300;16.0435900;1.8;-1.63839;0.698666090262122
31/10/2017 17:27:45;-61.6624300;16.0435900;1.8;-1.647873;0.837798253749497
31/10/2017 17:27:47;-61.6624300;16.0435900;1.8;-1.617895;0.404682974680327
31/10/2017 17:27:49;-61.6624300;16.0435900;1.8;-1.601679;0.096873962203972
31/10/2017 17:27:51;-61.6624300;16.0435900;1.8;-1.606634;0.818599442602135
31/10/2017 17:27:53;-61.6624300;16.0435900;1.8;-1.636208;0.150329859810881
31/10/2017 17:27:55;-61.6624300;16.0435900;1.8;-1.64143;0.354864058201201
31/10/2017 17:27:57;-61.6624400;16.0435900;1.8;-1.608311;0.60827221989166
31/10/2017 17:27:59;-61.6624400;16.0435900;1.8;-1.613468;0.288151668966748
31/10/2017 17:28:01;-61.6624400;16.0435900;1.8;-1.631514;0.338571772095747
31/10/2017 17:28:03;-61.6624400;16.0435900;1.8;-1.622749;0.186715288669802
31/10/2017 17:28:05;-61.6624400;16.0435900;1.8;-1.605782;0.136007844586857
31/10/2017 17:28:07;-61.6624400;16.0435900;1.8;-1.586287;0.330577900051139
31/10/2017 17:28:09;-61.6624400;16.0435900;1.8;-1.586634;0.011651395703666
31/10/2017 17:28:11;-61.6624400;16.0435900;1.8;-1.565216;0.525741788442247
31/10/2017 17:28:13;-61.6624400;16.0435900;1.8;-1.554064;0.733154735178687
31/10/2017 17:28:15;-61.6624400;16.0435900;1.8;-1.559025;0.545998211367987
31/10/2017 17:28:17;-61.6624400;16.0435900;1.8;-1.559427;0.666655897046439
31/10/2017 17:28:19;-61.6624400;16.0435900;1.8;-1.557877;0.179403623216786
31/10/2017 17:28:21;-61.6624400;16.0435900;1.8;-1.557983;0.785268488456495
31/10/2017 17:28:23;-61.6624400;16.0435900;1.8;-1.549322;0.033939772401936
31/10/2017 17:28:25;-61.6624400;16.0435900;1.8;-1.526146;0.410903478390537
31/10/2017 17:28:27;-61.6624400;16.0435900;1.8;-1.521391;0.157945762039162
31/10/2017 17:28:29;-61.6624400;16.0435900;1.8;-1.528692;0.013621289166622
31/10/2017 17:28:31;-61.6624400;16.0435900;1.8;-1.529654;0.114132710616104
31/10/2017 17:28:33;-61.6624400;16.0435900;1.8;-1.541538;0.860889683361165
31/10/2017 17:28:35;-61.6624400;16.0435900;1.8;-1.541212;0.439429676975124
31/10/2017 17:28:37;-61.6624400;16.0435900;1.8;-1.546543;0.566683160723187
31/10/2017 17:28:39;-61.6624400;16.0435900;1.8;-1.536688;0.74631840956863
31/10/2017 17:28:41;-61.6624400;16.0435900;1.8;-1.517338;0.109985456219874
31/10/2017 17:28:43;-61.6624400;16.0435900;1.8;-1.510971;0.377948531531729
